Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
E0,06/10/2019,14:00,Southampton,Chelsea,1,4,A,1,3,A,P Tierney
E0,06/10/2019,16:30,Newcastle,Man United,1,0,H,0,0,D,M Dean
E0,19/10/2019,12:30,Everton,West Ham,2,0,H,1,0,H,P Tierney
E0,19/10/2019,15:00,Aston Villa,Brighton,2,1,H,1,1,D,D Coote
E0,19/10/2019,15:00,Bournemouth,Norwich,0,0,D,0,0,D,L Mason
E0,19/10/2019,15:00,Chelsea,Newcastle,1,0,H,0,0,D,A Marriner
E0,19/10/2019,15:00,Leicester,Burnley,2,1,H,1,1,D,J Moss
E0,19/10/2019,15:00,Tottenham,Watford,1,1,D,0,1,A,C Kavanagh
E0,19/10/2019,15:00,Wolves,Southampton,1,1,D,0,0,D,P Bankes
E0,19/10/2019,17:30,Crystal Palace,Man City,0,2,A,0,2,A,A Taylor
E0,20/10/2019,16:30,Man United,Liverpool,1,1,D,1,0,H,M Atkinson
E0,21/10/2019,20:00,Sheffield United,Arsenal,1,0,H,1,0,H,M Dean
E0,25/10/2019,20:00,Southampton,Leicester,0,9,A,0,5,A,A Marriner
E0,26/10/2019,12:30,Man City,Aston Villa,3,0,H,0,0,D,G Scott
E0,26/10/2019,15:00,Brighton,Everton,3,2,H,1,1,D,A Madley
E0,26/10/2019,15:00,Watford,Bournemouth,0,0,D,0,0,D,M Dean
E0,26/10/2019,15:00,West Ham,Sheffield United,1,1,D,1,0,H,D Coote
E0,26/10/2019,17:30,Burnley,Chelsea,2,4,A,0,2,A,M Oliver
E0,27/10/2019,14:00,Newcastle,Wolves,1,1,D,1,0,H,K Friend
E0,27/10/2019,16:30,Arsenal,Crystal Palace,2,2,D,2,1,H,M Atkinson
E0,27/10/2019,16:30,Liverpool,Tottenham,2,1,H,0,1,A,A Taylor
E0,27/10/2019,16:30,Norwich,Man United,1,3,A,0,2,A,S Attwell
E0,02/11/2019,12:30,Bournemouth,Man United,1,0,H,1,0,H,C Kavanagh
E0,02/11/2019,15:00,Arsenal,Wolves,1,1,D,1,0,H,M Oliver
E0,02/11/2019,15:00,Aston Villa,Liverpool,1,2,A,1,0,H,J Moss
E0,02/11/2019,15:00,Brighton,Norwich,2,0,H,0,0,D,K Friend
E0,02/11/2019,15:00,Man City,Southampton,2,1,H,0,1,A,L Mason
E0,02/11/2019,15:00,Sheffield United,Burnley,3,0,H,3,0,H,S Hooper
